Release,version,Action,Method,Old class,New class (– if none)
rel_1_16,v1beta1,DELETED,deleteCollectionNamespacedIngress,Ingress,--
rel_1_16,v1beta1,DELETED,createNamespacedIngress,Ingress,--
rel_1_16,v1beta1,DELETED,deleteNamespacedIngress,Ingress,--
rel_1_16,v1beta1,DELETED,readNamespacedIngress,Ingress,--
rel_1_16,v1beta1,DELETED,patchNamespacedIngress,Ingress,--
rel_1_16,v1beta1,DELETED,replaceNamespacedIngress,Ingress,--
rel_1_16,v1beta1,DELETED,replaceNamespacedIngressStatus,Ingress,--
rel_1_16,v1beta1,DELETED,listNamespacedPodDisruptionBudget,PodDisruptionBudgetList,--
rel_1_16,v1beta1,DELETED,listPodDisruptionBudgetForAllNamespaces,PodDisruptionBudgetList,--
rel_1_16,v1beta1,DELETED,createCSINode,CSINode,--
rel_1_16,v1beta1,DELETED,readCSINode,CSINode,--
rel_1_16,v1beta1,DELETED,replaceCSINode,CSINode,--
rel_1_16,v1beta1,DELETED,createCSIDriver,CSIDriver,--
rel_1_16,v1beta1,DELETED,readCSIDriver,CSIDriver,--
rel_1_16,v1beta1,DELETED,replaceCSIDriver,CSIDriver,--
rel_1_16,v1beta1,DELETED,deleteCollectionNamespacedCronJob,CronJob,--
rel_1_16,v1beta1,DELETED,createNamespacedCronJob,CronJob,--
rel_1_16,v1beta1,DELETED,deleteNamespacedCronJob,CronJob,--
rel_1_16,v1beta1,DELETED,readNamespacedCronJob,CronJob,--
rel_1_16,v1beta1,DELETED,patchNamespacedCronJob,CronJob,--
rel_1_16,v1beta1,DELETED,replaceNamespacedCronJob,CronJob,--
rel_1_16,v1beta1,DELETED,replaceNamespacedCronJobStatus,CronJob,--
rel_1_16,v1beta1,DELETED,deleteCollectionCertificateSigningRequest,CertificateSigningRequest,--
rel_1_16,v1beta1,DELETED,createCertificateSigningRequest,CertificateSigningRequest,--
rel_1_16,v1beta1,DELETED,deleteCertificateSigningRequest,CertificateSigningRequest,--
rel_1_16,v1beta1,DELETED,readCertificateSigningRequest,CertificateSigningRequest,--
rel_1_16,v1beta1,DELETED,patchCertificateSigningRequest,CertificateSigningRequest,--
rel_1_16,v1beta1,DELETED,replaceCertificateSigningRequest,CertificateSigningRequest,--
rel_1_16,v1beta1,DELETED,replaceCertificateSigningRequestApproval,CertificateSigningRequest,--
rel_1_16,v1beta1,DELETED,replaceCertificateSigningRequestStatus,CertificateSigningRequest,--
rel_1_16,v1beta1,DELETED,listIngressForAllNamespaces,IngressList,--
rel_1_16,v1beta1,DELETED,listNamespacedIngress,IngressList,--
rel_1_16,v1beta1,DELETED,listCSIDriver,CSIDriverList,--
rel_1_16,v1beta1,DELETED,listCSINode,CSINodeList,--
rel_1_16,v1beta1,DELETED,listCronJobForAllNamespaces,CronJobList,--
rel_1_16,v1beta1,DELETED,listNamespacedCronJob,CronJobList,--
rel_1_16,v1beta1,DELETED,listPodSecurityPolicy,PodSecurityPolicyList,--
rel_1_16,v1beta1,DELETED,listCertificateSigningRequest,CertificateSigningRequestList,--
rel_1_16,v1beta2,DELETED,deleteCollectionNamespacedStatefulSet,StatefulSet,--
rel_1_16,v1beta2,DELETED,createNamespacedStatefulSet,StatefulSet,--
rel_1_16,v1beta2,DELETED,deleteNamespacedStatefulSet,StatefulSet,--
rel_1_16,v1beta2,DELETED,readNamespacedStatefulSet,StatefulSet,--
rel_1_16,v1beta2,DELETED,patchNamespacedStatefulSet,StatefulSet,--
rel_1_16,v1beta2,DELETED,replaceNamespacedStatefulSet,StatefulSet,--
rel_1_16,v1beta2,DELETED,replaceNamespacedStatefulSetStatus,StatefulSet,--
rel_1_16,v1beta2,DELETED,deleteCollectionNamespacedReplicaSet,ReplicaSet,--
rel_1_16,v1beta2,DELETED,createNamespacedReplicaSet,ReplicaSet,--
rel_1_16,v1beta2,DELETED,deleteNamespacedReplicaSet,ReplicaSet,--
rel_1_16,v1beta2,DELETED,readNamespacedReplicaSet,ReplicaSet,--
rel_1_16,v1beta2,DELETED,patchNamespacedReplicaSet,ReplicaSet,--
rel_1_16,v1beta2,DELETED,replaceNamespacedReplicaSet,ReplicaSet,--
rel_1_16,v1beta2,DELETED,replaceNamespacedReplicaSetStatus,ReplicaSet,--
rel_1_16,v1beta2,DELETED,listNamespacedReplicaSet,ReplicaSetList,--
rel_1_16,v1beta2,DELETED,listReplicaSetForAllNamespaces,ReplicaSetList,--
